ProspectID,LeadNumber,LeadOrigin,LeadSource,LeadScore,EngagementScore,TotalVisits,AverageTimePerVisit
7927b2df-8bba-4d29-b9a2-b6e0beafe620,660737,API,Olark Chat,105,0,0,0
2a272436-5132-4136-86fa-dcc88c88f482,660728,API,Organic Search,120,0,5,83.75
8cc8c611-a219-4f35-ad23-fdfd2656bd8a,660727,Landing Page Submission,Direct Traffic,150,80,2,4
0cc2df48-7cf4-4e39-9de9-19797f9b38cc,660719,Landing Page Submission,Direct Traffic,60,0,1,0
3256f628-e534-4826-9d63-4a8b88782852,660681,Landing Page Submission,Google,80,10,2,0
2058ef08-2858-443e-a01f-a9237db2f5ce,660680,API,Olark Chat,0,0,0,0
9fae7df4-169d-489b-afe4-0f3d752542ed,660673,Landing Page Submission,Google,80,10,2,6
20ef72a2-fb3b-45e0-924e-551c5fa59095,660664,API,Olark Chat,0,0,0,0
cfa0128c-a0da-4656-9d47-0aa4e67bf690,660624,Landing Page Submission,Direct Traffic,80,0,2,3
af465dfc-7204-4130-9e05-33231863c4b5,660616,API,Google,145,0,4,274.5
2a369e35-ca95-4ca9-9e4f-9d27175aa320,660608,Landing Page Submission,Organic Search,150,80,8,193.86
9bc8ce93-6144-49e0-9f9d-080fc980f83c,660570,Landing Page Submission,Direct Traffic,140,0,8,26.8
8bf76a52-2478-476b-8618-1688e07874ad,660562,API,Organic Search,170,120,11,130
88867067-3750-4753-8d33-1c7d1db53b5e,660558,Landing Page Submission,Organic Search,300,0,5,115.75
a8531c22-fcf1-48f8-a711-fb5abf98ad87,660553,Landing Page Submission,Direct Traffic,60,0,1,0
25f4ac14-ff4b-4cd2-9c61-b44c85e19c8f,660547,API,Organic Search,140,90,6,266.4
3abb7c77-1634-4083-9a9f-861068220611,660540,API,Olark Chat,0,0,0,0
e5c3beca-a0b6-4b3f-8c01-0919fb9ca3f2,660534,API,Referral Sites,135,0,6,64.8
82cb5fb0-2d97-4a39-a630-ab5fe2e7f18c,660522,Landing Page Submission,Google,165,60,6,318
4512c16a-e96a-4459-b9ec-c7d8fe8c4880,660509,API,Organic Search,115,0,3,370.67
c4419c99-b002-408b-a6fd-fa100716592c,660479,Landing Page Submission,Google,60,0,1,0
fd71ab5b-53b8-4105-9960-efedc44962fa,660478,API,Google,90,0,4,67
8fd38b83-5c32-4277-bcfb-499f34a01c56,660471,Landing Page Submission,Google,70,0,1,0
ecbc6e69-29a9-44bf-804a-13079ef301bc,660461,Landing Page Submission,Google,160,0,4,52.67
ecd117ca-375f-49ea-afd6-b52b84d00c69,660458,API,Google,205,110,6,396
31c326f0-4a9b-43a6-9006-99d3830fbcae,660447,Landing Page Submission,Google,75,10,3,144.5
c494aca4-8c8e-4081-9784-41eb6346015e,660432,Landing Page Submission,Organic Search,140,70,4,100.5
6d143c0e-abae-425f-a2c0-52c2946cbd45,660424,Landing Page Submission,Google,125,60,6,173.2
8247051c-f838-4a41-b39c-1f0b44c3d5e6,660423,Landing Page Submission,Direct Traffic,215,0,5,266.6
b3455e2e-8236-478a-b1aa-666ad3381722,660410,API,Google,80,30,3,179.5
da8c5ce5-52b5-4a4e-bf75-e533d2aca52c,660402,Landing Page Submission,Direct Traffic,210,120,7,147.33
d2055a36-b268-43a0-beeb-9a715f6a660d,660374,API,Google,80,0,3,261
c7d82991-3477-40ca-a616-db2d09228a55,660361,API,Referral Sites,90,0,4,52
5af0914a-fa65-48e1-b11e-b44849206dc3,660339,API,Organic Search,115,0,3,251
bc19e116-132c-4e00-a3fa-caa1ddda2f4e,660333,Landing Page Submission,Organic Search,100,30,4,35.5
30422ea1-36fe-465e-9e68-41ee190fefb3,660321,API,Referral Sites,90,40,3,326.67
a8ecfc52-9988-498a-9a21-df747891b847,660312,Landing Page Submission,Google,165,0,4,301.5
e60a54bc-0816-430e-a99a-019a8b5a27e5,660267,Landing Page Submission,Google,115,50,5,168.25
e50b7515-b5a5-4691-a450-5e28ba99b472,660255,API,Google,95,0,2,310.5
d6686032-c65e-4495-a0f4-ba7471209356,660236,Landing Page Submission,Google,85,20,4,54.67
daebea93-20bd-48be-b89b-85c7711ca0d7,660235,API,Direct Traffic,90,0,3,191
3ec75559-60f8-46f0-9198-bd3d05c464aa,660222,Landing Page Submission,Organic Search,87,0,7,66.83
d262e52a-b8e1-4164-b869-bb199ddf75a9,660215,API,Google,155,0,5,153.6
abc432ac-7393-4312-b49f-c43702397416,660203,Landing Page Submission,Google,190,0,5,125.2
85195b85-b384-4745-8e50-719566f70f52,660194,Landing Page Submission,Direct Traffic,200,0,6,253.5
fd31b6df-f961-43ba-8e81-618ce5aabfe5,660180,Landing Page Submission,Google,175,0,4,223.33
18633077-5162-4cc6-8728-bc25f7a32fd1,660174,Landing Page Submission,Direct Traffic,140,0,2,2
